State,Name,,ID,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,
IL,Rockford MTD,,5058-B,DR,12,,25,,0.0 ,,280.1 ,,242.0 ,,22.4 ,,17.3 ,,50.1 ,,446.1 ,
,,,,DRp,2,,2,,0.0 ,,5.8 ,,5.8 ,,1.2 ,,1.2 ,,9.4 ,,36.5 ,
,,,,MB,27,,40,,"1,229.7 ",,"1,229.7 ",,"1,229.7 ",,91.4 ,,91.4 ,,"2,658.3 ",,"8,916.2 ",
,,,,Total,41,,67,,"1,229.7 ",,"1,515.5 ",,"1,477.4 ",,114.9 ,,109.9 ,,"2,717.8 ",,"9,398.8 ",
IL,Springfield Mass Transit,,5059-A,DR,16,,16,,0.0 ,,324.0 ,,293.9 ,,25.5 ,,23.4 ,,79.7 ,,408.3 ,
,,,,MB,45,,50,,"1,106.1 ",,"1,193.5 ",,"1,106.1 ",,95.6 ,,89.4 ,,"1,644.8 ",,"4,142.4 ",
,,,,Total,61,,66,,"1,106.1 ",,"1,517.5 ",,"1,400.0 ",,121.1 ,,112.8 ,,"1,724.5 ",,"4,550.7 ",
IN,Anderson Transp Sys,,5041-A,DR,8,,9,,0.0 ,,126.4 ,Q,119.8 ,Q,76.0 ,Q,75.4 ,Q,45.8 ,,219.8 ,
,,,,MB,6,,6,,326.4 ,,341.0 ,Q,326.4 ,Q,136.0 ,Q,135.1 ,Q,275.5 ,,"1,410.4 ",
,,,,Total,14,,15,,326.4 ,,467.4 ,Q,446.2 ,Q,212.0 ,Q,210.5 ,Q,321.3 ,,"1,630.2 ",
IN,Bloomington Public Transp,,5110-B,DRp,6,,7,,0.0 ,,190.2 ,,104.7 ,,18.0 ,,9.9 ,,29.1 ,,93.7 ,
,,,,MB,26,,33,,755.5 ,,788.3 ,,755.5 ,,75.2 ,,72.0 ,,"1,930.7 ",,"5,985.3 ",
,,,,Total,32,,40,,755.5 ,,978.5 ,,860.3 ,,93.3 ,,81.9 ,,"1,959.8 ",,"6,079.0 ",
IN,City of Kokomo,,5145-B,DR,12,,12,,0.0 ,,161.7 ,,139.0 ,,13.0 ,,10.9 ,,47.0 ,,159.8 ,
,,,,DRp,15,,15,,0.0 ,,311.7 ,,217.8 ,,18.5 ,,11.7 ,,53.0 ,,140.4 ,
,,,,Total,27,,27,,0.0 ,,473.4 ,,356.8 ,,31.5 ,,22.6 ,,100.0 ,,300.1 ,
IN,East Chicago Public Trans,,5042-A,DR,2,,2,,0.0 ,,35.4 ,,28.0 ,,4.1 ,,3.5 ,,7.1 ,,28.0 ,
,,,,MB,6,,6,,214.7 ,,195.4 ,,186.2 ,,14.2 ,,13.7 ,,254.5 ,,769.2 ,
,,,,Total,8,,8,,214.7 ,,230.9 ,,214.3 ,,18.3 ,,17.3 ,,261.6 ,,797.3 ,
IN,Fort Wayne PTC,,5044-A,DR,9,,11,,0.0 ,,314.2 ,,258.1 ,,22.6 ,,17.8 ,,40.6 ,,336.0 ,
,,,,MB,22,,32,,"1,215.9 ",,"1,269.1 ",,"1,215.9 ",,95.1 ,,89.8 ,,"1,371.6 ",,"4,512.8 ",
,,,,Total,31,,43,,"1,215.9 ",,"1,583.3 ",,"1,474.0 ",,117.8 ,,107.6 ,,"1,412.2 ",,"4,848.7 ",
IN,Gary Public Transp Corp,,5045-A,MB,28,,30,,"1,688.5 ",,"1,405.7 ",,"1,368.4 ",,98.0 ,,94.4 ,,"1,734.2 ",,"4,076.3 ",
IN,Greater Lafayette PTC,,5051-A,DR,5,,9,,0.0 ,,129.9 ,,98.8 ,,12.2 ,,10.1 ,,24.7 ,,110.2 ,
,,,,MB,48,,57,,"1,270.1 ",,"1,358.0 ",,"1,268.2 ",,113.3 ,,106.4 ,,"3,103.7 ",,"12,657.5 ",
,,,,Total,53,,66,,"1,270.1 ",,"1,487.9 ",,"1,367.0 ",,125.5 ,,116.5 ,,"3,128.4 ",,"12,767.8 ",
IN,Hammond Transit System,,5102-B,DRp,22,,22,,0.0 ,,24.3 ,,24.3 ,,1.4 ,,1.4 ,,6.2 ,,24.3 ,
,,,,MBp,10,,12,,430.5 ,,463.3 ,,430.5 ,,32.8 ,,28.5 ,,352.3 ,,"1,459.8 ",
,,,,Total,32,,34,,430.5 ,,487.7 ,,454.8 ,,34.2 ,,29.9 ,,358.4 ,,"1,484.1 ",
IN,HeartCityRider/GoshenTran,,5149-B,DRp,28,,38,,0.0 ,,400.8 ,,381.1 ,,26.5 ,,25.9 ,,157.0 ,,440.2 ,
,,,,MBp,6,,7,,372.9 ,,416.6 ,,372.8 ,,24.1 ,,22.7 ,,85.4 ,,553.5 ,
,,,,Total,34,,45,,372.9 ,,817.4 ,,753.9 ,,50.6 ,,48.6 ,,242.5 ,,993.7 ,
IN,Indianapolis Public Trans,,5050-B,DR,22,,25,,0.0 ,,"1,474.4 ",,"1,187.5 ",,85.0 ,,61.7 ,,126.8 ,,"1,146.1 ",
,,,,DRp,35,,42,,0.0 ,,"1,625.7 ",,"1,312.5 ",,92.7 ,,65.0 ,,168.8 ,,"1,706.8 ",
,,,,MB,113,,132,,"5,894.3 ",,"6,514.1 ",,"5,776.5 ",,435.0 ,,404.1 ,,"10,095.9 ",,"47,203.7 ",
,,,,MBp,17,,20,,540.8 ,,648.9 ,,530.1 ,,41.3 ,,34.2 ,,311.9 ,,"1,266.0 ",Q
,,,,Total,187,,219,,"6,435.1 ",,"10,263.0 ",,"8,806.6 ",,654.1 ,,564.9 ,,"10,703.3 ",,"51,322.5 ",
IN,LCEOC,,5048-G,DR,61,,61,,0.0 ,,945.1 ,,708.8 ,,72.9 ,,66.7 ,,197.2 ,,"1,725.1 ",
IN,Metrop Evansville TS,,5043-A,DR,22,,22,,0.0 ,,260.1 ,,245.1 ,,21.3 ,,20.0 ,,45.9 ,,126.3 ,
,,,,MB,31,,31,,"1,267.0 ",,"1,275.7 ",,"1,216.8 ",,92.9 ,,86.2 ,,"1,311.4 ",,"3,934.3 ",
,,,,Total,53,,53,,"1,267.0 ",,"1,535.8 ",,"1,461.9 ",,114.2 ,,106.2 ,,"1,357.3 ",,"4,060.5 ",
IN,Muncie Indiana Transit,,5054-A,DR,9,,11,,0.0 ,,329.6 ,,290.0 ,,31.0 ,,27.3 ,,74.8 ,,260.2 ,
,,,,MB,25,,33,,844.2 ,,888.2 ,,844.2 ,,67.9 ,,63.3 ,,"1,311.1 ",,"3,644.8 ",
,,,,Total,34,,44,,844.2 ,,"1,217.7 ",,"1,134.3 ",,98.9 ,,90.6 ,,"1,385.9 ",,"3,905.0 ",
IN,N Tnshp-Lake Co DialARide,,5103-A,DR,3,,4,,0.0 ,,57.8 ,,49.8 ,,6.0 ,,5.2 ,,11.0 ,,61.5 ,
IN,Nor IN Commuter TD,,5104-A,CR,58,,62,,"2,949.8 ",,"3,139.0 ",,"2,962.9 ",,88.8 ,,84.7 ,,"3,771.6 ",,"105,584.9 ",
IN,Opportunity Enterprises,,5131-G,DR,30,,30,,0.0 ,,402.4 ,,323.8 ,,34.5 ,,28.1 ,,119.5 ,,"1,899.7 ",
IN,South Bend Public Transp,,5052-A,DR,6,,8,,0.0 ,,165.5 ,,153.0 ,,13.2 ,,12.2 ,,28.5 ,,176.1 ,
,,,,MB,44,,56,,"1,652.0 ",,"1,705.3 ",,"1,652.0 ",,124.9 ,,112.6 ,,"2,714.4 ",,"8,806.4 ",
,,,,Total,50,,64,,"1,652.0 ",,"1,870.8 ",,"1,804.9 ",,138.1 ,,124.8 ,,"2,743.0 ",,"8,982.5 ",
IN,Terre Haute Transit Utly,,5053-A,DR,3,,3,,0.0 ,,64.8 ,,61.5 ,,6.6 ,,5.6 ,,18.7 ,,62.2 ,
,,,,MB,7,,9,,226.2 ,,229.5 ,,225.9 ,,27.1 ,,26.3 ,,144.0 ,,219.9 ,
,,,,Total,10,,12,,226.2 ,,294.2 ,,287.4 ,,33.6 ,,31.9 ,,162.7 ,,282.1 ,
KS,City of Lawrence,,7033-B,DRp,10,,11,,0.0 ,,245.2 ,,216.6 ,,20.0 ,,18.1 ,,44.3 ,,0.0 ,W
,,,,MBp,10,,10,,510.8 ,,533.2 ,,508.2 ,,43.5 ,,42.0 ,,155.3 ,,0.0 ,W
,,,,Total,20,,21,,510.8 ,,778.4 ,,724.8 ,,63.5 ,,60.1 ,,199.7 ,,0.0 ,W
KS,Johnson County Transit,,7035-B,DRp,34,,40,,0.0 ,,946.1 ,,792.5 ,,45.4 ,,39.5 ,,116.8 ,,"1,178.4 ",
,,,,MBp,31,,36,,633.6 ,,"1,071.1 ",,633.6 ,,51.1 ,,39.2 ,,317.2 ,,"3,491.3 ",
,,,,Total,65,,76,,633.6 ,,"2,017.2 ",,"1,426.1 ",,96.5 ,,78.8 ,,434.0 ,,"4,669.7 ",
KS,Topeka Metropolitan TA,,7014-B,DR,7,,12,,0.0 ,,299.5 ,,299.5 ,,18.5 ,,18.5 ,,54.2 ,,389.1 ,
,,,,DRp,11,,19,,0.0 ,,112.4 ,,112.4 ,,8.3 ,,8.3 ,,27.4 ,,142.0 ,
,,,,MB,21,,29,,878.0 ,,928.5 ,,878.0 ,,55.3 ,,53.7 ,,"1,221.0 ",,"4,883.8 ",
,,,,Total,39,,60,,878.0 ,,"1,340.3 ",,"1,289.9 ",,82.1 ,,80.5 ,,"1,302.5 ",,"5,414.9 ",
KS,Wichita Transit,,7015-B,DR,16,,16,,0.0 ,,554.0 ,,498.1 ,,47.3 ,,42.7 ,,84.6 ,,380.5 ,
,,,,DRp,16,,16,,0.0 ,,"1,171.7 ",,"1,171.7 ",,73.0 ,,73.0 ,,196.1 ,,"1,421.6 ",
,,,,MB,47,,50,,"1,554.5 ",,"1,741.5 ",,"1,554.5 ",,112.8 ,,107.5 ,,"2,592.8 ",,"10,834.1 ",
,,,,Total,79,,82,,"1,554.5 ",,"3,467.2 ",,"3,224.3 ",,233.1 ,,223.2 ,,"2,873.5 ",,"12,636.2 ",
KY,TA - Northern Kentucky,,4019-A,DR,14,,21,,0.0 ,,690.9 ,,599.2 ,,42.9 ,,37.3 ,,66.4 ,,563.3 ,
,,,,MB,94,,119,,"3,331.6 ",,"4,092.8 ",,"3,331.6 ",,247.4 ,,216.8 ,,"4,320.6 ",,"24,516.0 ",
,,,,Total,108,,140,,"3,331.6 ",,"4,783.7 ",,"3,930.8 ",,290.3 ,,254.1 ,,"4,387.0 ",,"25,079.4 ",
KY,TA Lexington-Fayette Cnty,,4017-B,DRp,12,,14,,0.0 ,,579.6 ,,524.7 ,,41.8 ,,38.1 ,,84.5 ,,640.6 ,
,,,,MB,40,,46,,"1,685.8 ",,"1,753.4 ",,"1,675.0 ",,135.2 ,,131.8 ,,"3,444.8 ",,"11,564.8 ",
,,,,Total,52,,60,,"1,685.8 ",,"2,333.0 ",,"2,199.7 ",,177.0 ,,169.9 ,,"3,529.4 ",,"12,205.4 ",
KY,Transit Auth - River City,,4018-B,DR,9,,19,,0.0 ,,189.4 ,,164.8 ,,13.9 ,,12.0 ,,57.3 ,,610.2 ,
,,,,DRp,74,,75,,0.0 ,,"4,178.2 ",,"3,275.7 ",,230.2 ,,187.7 ,,331.8 ,,"2,875.4 ",
,,,,MB,200,,260,,"7,412.7 ",,"8,115.5 ",,"7,411.8 ",,620.7 ,,586.7 ,,"16,095.3 ",,"53,922.6 ",
,,,,MBp,8,,8,,219.9 ,,249.6 ,,219.7 ,,16.5 ,,12.5 ,,67.4 ,,196.5 ,
,,,,Total,291,,362,,"7,632.6 ",,"12,732.8 ",,"11,071.9 ",,881.2 ,,799.0 ,,"16,551.8 ",,"57,604.7 ",
LA,Capital Transp Corp,,6022-B,DRp,8,,11,,0.0 ,,495.3 ,,451.1 ,,27.6 ,,25.6 ,,63.8 ,,666.9 ,
,,,,MB,48,,56,,"2,394.3 ",,"2,398.2 ",,"2,392.9 ",,152.6 ,,147.0 ,,"6,684.2 ",,"19,589.9 ",
,,,,MBp,23,,25,,968.4 ,,"1,082.2 ",,968.4 ,,64.8 ,,61.4 ,,345.4 ,,"1,205.4 ",
,,,,Total,79,,92,,"3,362.8 ",,"3,975.7 ",,"3,812.4 ",,245.1 ,,234.0 ,,"7,093.3 ",,"21,462.2 ",
LA,City of Alexandria,,6025-A,DR,2,,3,,0.0 ,,88.8 ,,83.5 ,,5.6 ,,5.0 ,,13.6 ,,66.7 ,
,,,,MB,8,,11,,392.0 ,,396.7 ,,392.0 ,,30.0 ,,29.7 ,,764.1 ,,"2,910.5 ",
,,,,Total,10,,14,,392.0 ,,485.4 ,,475.5 ,,35.7 ,,34.8 ,,777.8 ,,"2,977.2 ",
LA,City of Lafayette Transit,,6038-B,DRp,5,,6,,0.0 ,,153.5 ,,145.4 ,,17.7 ,,16.7 ,,24.2 ,,101.6 ,
,,,,MB,13,,18,,561.7 ,,545.1 ,,500.6 ,,43.6 ,Q,39.1 ,,"1,118.2 ",Q,"4,732.0 ",Q
,,,,Total,18,,24,,561.7 ,,698.5 ,,646.1 ,,61.3 ,,55.8 ,,"1,142.4 ",,"4,833.7 ",
LA,City of Monroe,,6026-A,DR,2,,2,,0.0 ,,39.6 ,,35.9 ,,3.3 ,,3.0 ,,4.9 ,,20.4 ,
,,,,MB,15,,19,,650.7 ,,673.3 ,,650.0 ,,48.8 ,,47.6 ,,680.4 ,,"5,601.8 ",
,,,,Total,17,,21,,650.7 ,,712.9 ,,686.0 ,,52.2 ,,50.6 ,,685.2 ,,"5,622.3 ",
LA,Crescent City Connection,,6020-C,FB,6,,6,,52.3 ,,44.1 ,,44.1 ,,22.0 ,,22.0 ,,"3,128.5 ",,"1,564.3 ",
LA,Jefferson Parish DOT,,6088-B,DRp,16,,19,,0.0 ,,533.9 ,,473.5 ,,49.4 ,,45.4 ,,80.6 ,,599.3 ,
,,,,MBp,49,,58,,"2,223.9 ",,"2,423.8 ",,"2,219.7 ",,154.1 ,,141.2 ,,"3,620.2 ",,"15,823.5 ",
,,,,Total,65,,77,,"2,223.9 ",,"2,957.7 ",,"2,693.2 ",,203.5 ,,186.6 ,,"3,700.8 ",,"16,422.8 ",
LA,RTA - Orleans & Jefferson,,6032-B,DR,36,,40,,0.0 ,,919.5 ,,781.5 ,,86.4 ,,73.7 ,,133.3 ,,919.5 ,
,,,,DRp,24,,24,,0.0 ,,854.3 ,,733.0 ,,75.4 ,,62.6 ,,124.6 ,,854.3 ,
,,,,LR,23,,48,,693.2 ,,703.2 ,,668.7 ,,93.1 ,,77.1 ,,"5,173.7 ",,"11,172.7 ",
,,,,MB,301,,380,,"11,939.0 ",,"12,373.5 ",,"11,746.1 ",,"1,004.7 ",,849.5 ,,"49,060.1 ",,"141,926.6 ",
,,,,Total,384,,492,,"12,632.2 ",,"14,850.5 ",,"13,929.3 ",,"1,259.5 ",,"1,062.9 ",,"54,491.7 ",,"154,873.1 ",
LA,Shreveport Area Transit,,6024-B,DRp,8,,11,,0.0 ,,353.9 ,,246.6 ,,27.3 ,,10.7 ,,27.0 ,,242.2 ,
,,,,MB,37,,45,,"2,066.3 ",,"2,115.8 ",,"2,064.0 ",,144.8 ,,137.6 ,,"3,525.7 ",,"14,785.6 ",
,,,,Total,45,,56,,"2,066.3 ",,"2,469.7 ",,"2,310.6 ",,172.1 ,,148.4 ,,"3,552.7 ",,"15,027.8 ",
LA,Terrebonne Parish,,6080-A,DR,1,,2,,0.0 ,,6.8 ,,4.1 ,,0.5 ,,0.4 ,,0.5 ,,10.0 ,
,,,,MB,6,,8,,285.9 ,,286.7 ,,285.7 ,,16.9 ,,16.7 ,,214.5 ,,"1,029.0 ",
,,,,Total,7,,10,,285.9 ,,293.5 ,,289.8 ,,17.4 ,,17.1 ,,215.0 ,,"1,039.0 ",
MA,Brockton Area Transit,,1004-B,DRp,33,,36,,0.0 ,,745.0 ,,546.9 ,,63.1 ,,48.8 ,,214.7 ,,858.5 ,
,,,,MBp,47,,54,,"1,492.0 ",,"1,623.1 ",,"1,490.4 ",,125.4 ,,117.7 ,,"3,360.8 ",,"17,701.5 ",
,,,,Total,80,,90,,"1,492.0 ",,"2,368.1 ",,"2,037.2 ",,188.5 ,,166.5 ,,"3,575.5 ",,"18,559.9 ",
MA,Cape Ann Transp Auth,,1053-B,DRp,12,,12,,0.0 ,,182.1 ,,161.0 ,,14.0 ,,12.3 ,,39.8 ,,159.3 ,
,,,,MBp,21,,21,,348.0 ,,382.5 ,,348.0 ,,25.2 ,,22.8 ,,374.2 ,,"1,726.3 ",
,,,,Total,33,,33,,348.0 ,,564.6 ,,509.0 ,,39.2 ,,35.0 ,,414.0 ,,"1,885.6 ",
MA,Cape Cod RTA,,1105-B,DRp,50,,56,,0.0 ,,"1,543.8 ",,"1,543.8 ",,98.3 ,,98.3 ,,257.6 ,,"1,605.1 ",
,,,,MBp,30,,31,,509.6 ,,524.4 ,,507.5 ,,43.7 ,,40.6 ,,276.5 ,,"2,295.2 ",
,,,,Total,80,,87,,509.6 ,,"2,068.2 ",,"2,051.3 ",,142.0 ,,138.9 ,,534.2 ,,"3,900.3 ",
MA,Greater Attleboro-Taunton,,1064-B,DRp,44,,45,,0.0 ,,"1,200.7 ",,"1,057.5 ",,88.9 ,,76.9 ,,226.1 ,,"1,782.0 ",
,,,,MBp,46,,50,,"2,316.9 ",,"2,351.1 ",,"2,220.5 ",,104.9 ,,96.1 ,,919.9 ,,"15,775.3 ",
,,,,Total,90,,95,,"2,316.9 ",,"3,551.8 ",,"3,278.1 ",,193.9 ,,173.0 ,,"1,146.0 ",,"17,557.3 ",
MA,Lowell Regional Transit,,1005-B,DRp,32,,32,,0.0 ,,616.9 ,,536.6 ,,49.0 ,,44.3 ,,124.1 ,,555.7 ,
,,,,MB,33,,40,,911.2 ,,"1,024.6 ",,909.0 ,,94.4 ,,86.4 ,,"1,696.6 ",,"4,062.3 ",
,,,,Total,65,,72,,911.2 ,,"1,641.4 ",,"1,445.6 ",,143.4 ,,130.7 ,,"1,820.6 ",,"4,618.0 ",
MA,Mass Bay Transp Auth,,1003-B,CR,376,,439,,"21,845.0 ",,"22,678.8 ",,"22,177.2 ",,683.3 ,,667.6 ,,"36,992.6 ",,"784,413.0 ",
,,,,DRp,348,,361,,0.0 ,,"9,849.4 ",,"8,324.1 ",,801.1 ,,621.9 ,,"1,050.6 ",,"14,061.8 ",
,,,,FBp,12,,14,,189.2 ,,197.2 ,,189.2 ,,23.1 ,,22.3 ,,"1,459.7 ",,"10,752.6 ",
,,,,HR,320,,408,,"19,153.6 ",,"21,219.5 ",,"20,821.5 ",,964.5 ,,946.4 ,,"137,234.0 ",,"502,501.9 ",
,,,,LR,155,,198,,"5,570.6 ",,"5,746.5 ",,"5,735.8 ",,383.1 ,,382.4 ,,"75,257.8 ",,"185,068.1 ",
,,,,MB,779,,915,,"22,772.6 ",,"26,041.9 ",,"22,964.3 ",,"2,480.2 ",,"2,187.1 ",,"106,546.9 ",,"284,113.8 ",
,,,,MBp,105,,131,,"3,253.0 ",,"3,777.6 ",,"3,148.7 ",,180.7 ,,154.8 ,,"2,335.7 ",,"29,371.1 ",Q
,,,,TB,24,,40,,673.8 ,,694.0 ,,686.6 ,,73.1 ,,72.3 ,,"3,459.9 ",,"7,857.9 ",
,,,,Total,"2,119",,"2,506",,"73,457.7 ",,"90,205.0 ",,"84,047.5 ",,"5,589.0 ",,"5,054.8 ",,"364,337.3 ",,"1,818,140.3 ",
MA,Merrimack Valley RTA,,1013-B,DRp,24,,31,,0.0 ,,416.9 ,,416.9 ,,58.9 ,,58.9 ,,79.8 ,,416.9 ,
,,,,MBp,41,,51,,"1,617.3 ",,"1,644.5 ",,"1,440.2 ",,120.1 ,,103.1 ,,"1,742.9 ",,"6,605.7 ",
,,,,Total,65,,82,,"1,617.3 ",,"2,061.4 ",,"1,857.1 ",,178.9 ,,162.0 ,,"1,822.7 ",,"7,022.6 ",
MA,Montachusett RTA,,1061-B,DRp,94,,121,,0.0 ,,"1,335.3 ",,"1,335.3 ",,98.1 ,,98.1 ,,474.0 ,,"4,035.7 ",
,,,,MBp,24,,32,,825.3 ,,860.1 ,,825.3 ,,80.5 ,,78.4 ,,690.8 ,,"4,241.7 ",
,,,,Total,118,,153,,825.3 ,,"2,195.4 ",,"2,160.5 ",,178.6 ,,176.5 ,,"1,164.9 ",,"8,277.3 ",
MA,Pioneer Valley Trans Auth,,1008-B,DRp,127,,127,,0.0 ,,"3,680.0 ",,"3,350.2 ",,261.4 ,,238.0 ,,462.7 ,,"3,214.4 ",
,,,,MBp,30,,40,,936.3 ,,916.6 ,,879.8 ,,64.9 ,,58.3 ,,"2,497.4 ",,"5,793.6 ",
,,,,Total,157,,167,,936.3 ,,"4,596.6 ",,"4,230.0 ",,326.3 ,,296.3 ,,"2,960.1 ",,"9,007.9 ",
MA,Southeastern RTA,,1006-B,DRp,20,,26,,0.0 ,,463.6 ,,390.4 ,,30.4 ,,25.5 ,,82.7 ,,482.8 ,
,,,,MBp,52,,78,,"1,432.6 ",,"1,503.7 ",,"1,426.7 ",,121.8 ,,117.3 ,,"2,362.4 ",,"6,102.9 ",
,,,,Total,72,,104,,"1,432.6 ",,"1,967.3 ",,"1,817.2 ",,152.2 ,,142.8 ,,"2,445.1 ",,"6,585.7 ",
MA,Transit Express,,1089-D,MB,122,,150,,"4,202.8 ",,"4,202.8 ",,"4,097.1 ",,330.0 ,,319.2 ,,"8,283.7 ",,"24,008.1 ",
MA,Worcester Regional TA,,1014-B,DR,18,,36,,0.0 ,,380.3 ,,343.8 ,,35.1 ,,31.6 ,,68.9 ,,277.9 ,
,,,,DRp,122,,135,,0.0 ,,"1,695.1 ",,"1,542.5 ",,127.2 ,,115.7 ,,249.8 ,,"1,695.1 ",
,,,,MB,43,,56,,"2,215.5 ",,"2,323.5 ",,"2,209.8 ",,190.4 ,,180.7 ,,"4,520.9 ",,"11,444.3 ",
,,,,MBp,1,,3,,22.5 ,,31.3 ,,22.4 ,,1.0 ,,0.8 ,,1.4 ,,36.7 ,
,,,,Total,184,,230,,"2,238.0 ",,"4,430.2 ",,"4,118.5 ",,353.7 ,,328.8 ,,"4,841.0 ",,"13,453.9 ",
MD,Annapolis Parking/Trans,,3040-A,MB,18,,18,,486.7 ,,491.0 ,,484.1 ,,32.1 ,,31.7 ,,"1,155.3 ",,"3,354.6 ",
MD,Frederick County Transit,,3072-A,DR,24,,24,,0.0 ,,483.4 ,,397.8 ,,25.4 ,,23.9 ,,72.8 ,,743.6 ,
,,,,MB,11,,11,,285.2 ,,299.0 ,,285.2 ,,25.4 ,,24.8 ,,237.7 ,,"1,328.8 ",
,,,,Total,35,,35,,285.2 ,,782.4 ,,683.0 ,,50.8 ,,48.7 ,,310.5 ,,"2,072.4 ",
MD,Harford County Transp Svc,,3074-A,DR,11,,15,,0.0 ,,290.0 ,,290.0 ,,19.8 ,,19.8 ,,25.0 ,,254.0 ,
,,,,MB,5,,12,,214.8 ,,237.0 ,,214.8 ,,15.3 ,,14.0 ,,100.0 ,,710.0 ,
,,,,Total,16,,27,,214.8 ,,527.0 ,,504.8 ,,35.0 ,,33.8 ,,125.0 ,,964.0 ,
MD,Howard Area Transit Svc,,3048-B,DRp,23,,23,,0.0 ,,730.7 ,,730.7 ,,37.8 ,,37.8 ,,84.7 ,,729.4 ,
,,,,MBp,18,,18,,980.2 ,,"1,040.5 ",,980.2 ,,57.9 ,,56.5 ,,366.9 ,,"3,541.1 ",
,,,,Total,41,,41,,980.2 ,,"1,771.1 ",,"1,710.9 ",,95.6 ,,94.3 ,,451.6 ,,"4,270.6 ",
MD,MTA-Maryland DOT,,3034-C,CRp,110,,140,,"5,900.4 ",,"5,117.6 ",,"4,438.0 ",,127.5 ,,110.8 ,,"5,817.0 ",,"175,191.9 ",
,,,,DR,15,,22,,0.0 ,,506.5 ,,394.0 ,,46.8 ,,36.4 ,,94.1 ,,507.4 ,
,,,,DRp,96,,96,,0.0 ,,"5,569.3 ",,"5,151.0 ",,345.6 ,,312.0 ,,584.4 ,,"5,446.0 ",
,,,,HR,66,,100,,"5,745.2 ",,"4,309.3 ",,"4,140.1 ",,169.6 ,,162.6 ,,"13,585.2 ",,"62,457.4 ",
,,,,LR,49,,53,,"4,721.8 ",,"2,811.5 ",,"2,780.4 ",,178.6 ,,176.2 ,,"7,816.7 ",,"52,496.0 ",
,,,,MB,630,,792,,"18,760.0 ",,"21,774.8 ",,"18,781.5 ",,"1,869.2 ",,"1,669.6 ",,"81,306.9 ",,"260,988.0 ",
,,,,MBp,143,,143,,"2,596.5 ",,"3,581.8 ",,"2,611.5 ",,139.2 ,,101.5 ,,"1,843.8 ",,"54,528.3 ",
,,,,Total,"1,109",,"1,346",,"37,723.8 ",,"43,670.7 ",,"38,296.6 ",,"2,876.5 ",,"2,569.2 ",,"111,048.2 ",,"611,615.1 ",
MD,Montgomery Cnty Ride-On,,3051-B,DRp,104,,104,,0.0 ,,"4,940.8 ",,"4,940.8 ",,307.2 ,,307.2 ,,352.0 ,,"4,940.8 ",
,,,,MB,192,,237,,"8,338.1 ",Q,"9,527.9 ",,"8,457.1 ",Q,697.7 ,,498.8 ,,"19,510.8 ",,"60,323.1 ",
,,,,MBp,59,,71,,"1,110.5 ",,"1,136.2 ",Q,"1,110.5 ",Q,173.9 ,Q,169.4 ,Q,"2,584.8 ",,"7,573.3 ",
,,,,Total,355,,412,,"9,448.6 ",,"15,604.9 ",,"14,508.4 ",,"1,178.8 ",,975.3 ,,"22,447.6 ",,"72,837.2 ",
MD,Washington County TD,,3042-A,MB,16,,16,,485.9 ,,493.2 ,,485.9 ,,33.3 ,,31.0 ,,58.2 ,Q,388.2 ,Q
ME,Casco Bay Island TD,,1088-A,FB,4,,5,,72.9 ,,73.8 ,,73.2 ,,15.3 ,,15.2 ,,931.1 ,,"3,072.6 ",
ME,City of Bangor,,1096-B,DRp,1,,1,,0.0 ,,1.1 ,,1.1 ,,0.1 ,,0.1 ,,0.2 ,,1.1 ,
,,,,MB,10,,14,,464.3 ,,474.0 ,,464.3 ,,29.8 ,,28.8 ,,468.1 ,,"1,912.9 ",
,,,,Total,11,,15,,464.3 ,,475.1 ,,465.4 ,,29.9 ,,28.8 ,,468.3 ,,"1,914.0 ",
ME,Greater Portland Transit,,1016-A,MB,24,,32,,761.8 ,,780.9 ,,761.8 ,,71.4 ,,69.2 ,,"1,284.3 ",,"4,408.5 ",
ME,Regional Transp Program,,1069-D,DR,32,,32,,0.0 ,,738.7 ,,465.7 ,,58.7 ,,35.0 ,,175.8 ,,"2,392.4 ",
ME,Western Maine Transp Svcs,,1098-G,DR,16,,28,,0.0 ,,460.0 ,,442.9 ,,41.4 ,,39.2 ,,92.5 ,,578.6 ,
,,,,MB,6,,8,,168.8 ,,173.8 ,,158.5 ,,12.3 ,,11.5 ,,120.5 ,,301.5 ,
,,,,Total,22,,36,,168.8 ,,633.8 ,,601.4 ,,53.7 ,,50.7 ,,213.0 ,,880.1 ,
MI,Ann Arbor Transp Auth,,5040-B,DR,5,,8,,0.0 ,,117.3 ,,105.5 ,,14.4 ,,13.7 ,,22.5 ,,98.3 ,
,,,,DRp,30,,35,,0.0 ,,"1,382.9 ",,"1,341.5 ",,93.5 ,,90.2 ,,229.5 ,,647.2 ,
,,,,MB,62,,76,,"2,521.6 ",,"2,689.9 ",,"2,521.6 ",,188.9 ,,181.1 ,,"4,157.3 ",,"13,868.8 ",
,,,,Total,97,,119,,"2,521.6 ",,"4,190.1 ",,"3,968.6 ",,296.8 ,,285.0 ,,"4,409.3 ",,"14,614.3 ",
