State,Name,ID,Org Type,Mode,TOS, VOMS,Vehicles Available for Maximum Service,,Service Supplied (Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
,,3019,B,CR,DO,297,357,,"15,882.2 ",,"16,663.2 ",,"15,808.1 ",,617.1 ,,585.3 ,,"31,680.0 ",,"456,445.5 ",
,,3019,B,DR,PT,338,422,,0.0 ,,"10,550.0 ",,"8,864.8 ",,"1,045.6 ",,911.2 ,,"1,653.7 ",,"10,550.0 ",
,,3019,B,HR,DO,274,369,,"15,885.2 ",,"16,265.3 ",,"16,013.3 ",,831.9 ,,818.1 ,,"88,045.7 ",,"391,912.2 ",
,,3019,B,LR,DO,117,141,,"3,370.0 ",,"3,355.0 ",,"3,320.5 ",,355.1 ,,351.4 ,,"25,206.4 ",,"63,781.2 ",
,,3019,B,MB,DO,"1,180","1,382",,"38,838.8 ",,"45,785.6 ",,"39,606.4 ",,"4,218.3 ",,"3,825.6 ",,"187,943.3 ",,"553,137.9 ",
,,3019,B,MB,PT,4,5,,87.9 ,,132.6 ,,89.7 ,,6.4 ,,4.6 ,,17.0 ,,90.7 ,Q
,,,,Total,,"2,210","2,676",,"74,064.0 ",,"92,751.8 ",,"83,702.8 ",,"7,074.5 ",,"6,496.3 ",,"334,546.1 ",,"1,475,917.5 ",
PA,Southwestern Pennsylvania Commission (SPC),,,,,,,,,,,,,,,,,,,,,
,,3078,B,VP,PT,43,49,,0.0 ,,623.5 ,,623.5 ,,20.4 ,,20.4 ,,183.2 ,,"5,270.5 ",
PA,"Trans-Bridge Lines, Inc.",,,,,,,,,,,,,,,,,,,,,
,,2169,D,MB,DO,42,47,,"3,300.5 ",,"3,559.8 ",,"3,391.9 ",,71.1 ,,68.0 ,,996.5 ,,"87,095.4 ",
PA,Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,,,,,,,,,
,,3044,B,DR,PT,25,101,,0.0 ,,44.1 ,,44.1 ,,1.9 ,,1.9 ,,4.8 ,,44.1 ,
,,3044,B,MB,PT,22,31,,765.7 ,,997.8 ,,764.9 ,,49.6 ,,36.9 ,,287.9 ,,"3,809.3 ",
,,,,Total,,47,132,,765.7 ,,"1,041.9 ",,809.0 ,,51.5 ,,38.8 ,,292.7 ,,"3,853.4 ",
PA,Williamsport Bureau of Transportation (CityBus),,,,,,,,,,,,,,,,,,,,,
,,3026,B,DR,PT,2,2,,0.0 ,,16.4 ,,16.4 ,,0.9 ,,0.9 ,,2.3 ,,16.4 ,
,,3026,B,MB,DO,19,29,,728.7 ,,774.7 ,,741.5 ,,51.6 ,,47.8 ,,"1,253.9 ",,"5,492.2 ",
,,,,Total,,21,31,,728.7 ,,791.0 ,,757.8 ,,52.5 ,,48.7 ,,"1,256.2 ",,"5,508.5 ",
PA,York County Transportation Authority (rabbittransit),,,,,,,,,,,,,,,,,,,,,
,,3027,B,DR,DO,29,36,,0.0 ,,"1,136.0 ",,954.8 ,,78.2 ,,60.5 ,,184.7 ,,"2,349.5 ",
,,3027,B,DR,PT,7,7,,0.0 ,,10.8 ,,10.8 ,,1.9 ,,1.9 ,,0.9 ,,13.4 ,
,,3027,B,MB,DO,28,36,,"1,113.4 ",,"1,147.8 ",Q,"1,113.4 ",Q,105.2 ,,100.0 ,,"1,458.6 ",,"4,565.3 ",
,,,,Total,,64,79,,"1,113.4 ",,"2,294.6 ",,"2,079.0 ",,185.3 ,,162.4 ,,"1,644.1 ",,"6,928.3 ",
PR,Department of Transportation and Public Works (DTPW),,,,,,,,,,,,,,,,,,,,,
,,4105,C,PB,PT,"3,101","4,911",,0.0 ,,"45,609.6 ",,"42,475.4 ",,"3,030.7 ",,"2,875.5 ",,"46,050.0 ",,"230,718.6 ",
PR,Metropolitan Bus Authority (MBA),,,,,,,,,,,,,,,,,,,,,
,,4086,A,DR,DO,38,51,,0.0 ,,"1,096.7 ",Q,946.1 ,Q,99.2 ,Q,79.5 ,Q,132.7 ,,919.7 ,
,,4086,A,MB,DO,202,296,,"8,142.0 ",,"7,682.6 ",,"6,730.1 ",,807.9 ,,745.8 ,,"28,394.3 ",,"101,097.0 ",
,,,,Total,,240,347,,"8,142.0 ",,"8,779.3 ",,"7,676.2 ",,907.1 ,,825.2 ,,"28,526.9 ",,"102,016.7 ",
PR,Puerto Rico Highway and Transportation Authority (PRHTA),,,,,,,,,,,,,,,,,,,,,
,,4094,B,HR,PT,40,74,,903.5 ,Q,920.7 ,Q,889.9 ,Q,56.7 ,Q,42.6 ,Q,"2,182.7 ",Q,"10,602.8 ",Q
,,4094,B,MB,PT,24,26,,723.4 ,Q,795.0 ,Q,723.4 ,Q,139.9 ,Q,125.9 ,Q,"3,088.2 ",Q,"6,182.7 ",Q
,,,,Total,,64,100,,"1,627.0 ",,"1,715.7 ",,"1,613.4 ",,196.6 ,,168.5 ,,"5,270.8 ",,"16,785.5 ",
PR,Puerto Rico Ports Authority (PRPA),,,,,,,,,,,,,,,,,,,,,
,,4070,A,FB,DO,15,16,,166.9 ,,222.7 ,Q,200.4 ,Q,19.4 ,Q,17.4 ,Q,"2,067.0 ",Q,"3,451.9 ",
RI,Bonanza (BZ),,,,,,,,,,,,,,,,,,,,,
,,1116,E,MB,DO,11,14,,773.8 ,,773.4 ,Q,773.4 ,Q,28.5 ,Q,28.5 ,Q,257.6 ,Q,"12,904.3 ",Q
RI,Rhode Island Public Transit Authority (RIPTA),,,,,,,,,,,,,,,,,,,,,
,,1001,B,DR,DO,87,113,,0.0 ,,"3,465.9 ",,"2,926.9 ",,246.9 ,,221.2 ,,491.4 ,,"5,587.8 ",
,,1001,B,DR,PT,33,35,,0.0 ,,"1,202.6 ",,"1,100.1 ",,95.8 ,,88.9 ,,198.4 ,,"2,065.0 ",
,,1001,B,MB,DO,208,222,,"7,441.4 ",,"8,997.3 ",,"7,502.3 ",,663.5 ,,608.4 ,,"18,612.7 ",,"79,402.7 ",
,,,,Total,,328,370,,"7,441.4 ",,"13,665.8 ",,"11,529.4 ",,"1,006.1 ",,918.5 ,,"19,302.5 ",,"87,055.5 ",
SC,Central Midlands Regional Transit Authority (CMRTA),,,,,,,,,,,,,,,,,,,,,
,,4141,B,DR,PT,20,23,,0.0 ,,963.0 ,,880.5 ,,48.2 ,,42.3 ,,80.4 ,,"1,084.2 ",
,,4141,B,MB,PT,40,49,,"1,861.3 ",,"1,957.7 ",,"1,860.5 ",,155.5 ,,147.8 ,,"2,659.4 ",,"15,057.8 ",
,,,,Total,,60,72,,"1,861.3 ",,"2,920.7 ",,"2,741.0 ",,203.7 ,,190.2 ,,"2,739.8 ",,"16,142.0 ",
SC,Charleston Area Regional Transportation Authority (CARTA),,,,,,,,,,,,,,,,,,,,,
,,4110,B,DR,PT,15,16,,0.0 ,,460.4 ,,397.9 ,,28.1 ,,25.9 ,,52.6 ,,496.3 ,
,,4110,B,MB,PT,49,55,,770.3 ,,793.9 ,,783.6 ,,67.7 ,,64.3 ,,"1,038.3 ",,"11,047.3 ",
,,,,Total,,64,71,,770.3 ,,"1,254.3 ",,"1,181.5 ",,95.8 ,,90.3 ,,"1,090.9 ",,"11,543.6 ",
SC,Greenville Transit Authority (GTA),,,,,,,,,,,,,,,,,,,,,
,,4053,A,DR,DO,3,4,,0.0 ,,62.7 ,,46.3 ,,4.8 ,,4.2 ,,6.3 ,,25.7 ,
,,4053,A,MB,DO,13,23,,705.4 ,,711.1 ,,702.4 ,,47.3 ,,46.4 ,,734.9 ,,"3,159.9 ",
,,,,Total,,16,27,,705.4 ,,773.9 ,,748.8 ,,52.1 ,,50.6 ,,741.2 ,,"3,185.6 ",
SC,Pee Dee Regional Transportation Authority (PDRTA),,,,,,,,,,,,,,,,,,,,,
,,4056,A,DR,DO,103,143,,0.0 ,,"4,662.6 ",Q,"3,189.1 ",Q,190.5 ,Q,130.3 ,Q,634.8 ,Q,"10,200.3 ",Q
,,4056,A,MB,DO,4,6,,109.7 ,,110.8 ,Q,109.7 ,N,8.8 ,Q,8.5 ,Q,34.8 ,,170.0 ,
,,,,Total,,107,149,,109.7 ,,"4,773.4 ",,"3,298.7 ",,199.3 ,,138.8 ,,669.6 ,,"10,370.3 ",
SC,Santee Wateree Regional Transportation Authority (SWRTA),,,,,,,,,,,,,,,,,,,,,
,,4100,A,DR,DO,52,55,,0.0 ,,"1,883.8 ",,"1,611.0 ",,94.2 ,,81.2 ,,159.3 ,,"3,270.7 ",
,,4100,A,MB,DO,28,31,,418.0 ,,495.4 ,,418.0 ,,25.5 ,,21.7 ,,194.0 ,,428.7 ,
,,,,Total,,80,86,,418.0 ,,"2,379.3 ",,"2,029.0 ",,119.7 ,,102.9 ,,353.3 ,,"3,699.4 ",
SC,Spartanburg County Transportation Services (sctsb),,,,,,,,,,,,,,,,,,,,,
,,4088,B,DR,PT,36,39,,0.0 ,,"1,652.9 ",,"1,006.3 ",,93.7 ,,56.3 ,,169.5 ,,"2,512.4 ",
SC,Spartanburg Transit System (SPARTA),,,,,,,,,,,,,,,,,,,,,
,,4101,D,MB,DO,8,11,,272.4 ,,298.9 ,,276.4 ,,22.6 ,,20.8 ,,500.9 ,,"2,302.4 ",
SC,Waccamaw Regional Transportation Authority (Lymo),,,,,,,,,,,,,,,,,,,,,
,,4102,A,DR,DO,18,18,,0.0 ,,884.7 ,Q,871.3 ,Q,47.9 ,Q,47.4 ,Q,74.3 ,Q,"1,393.0 ",Q
,,4102,A,MB,DO,27,39,,"1,158.5 ",,"1,357.5 ",,"1,265.6 ",,67.2 ,,62.6 ,,627.3 ,,"2,716.0 ",
,,,,Total,,45,57,,"1,158.5 ",,"2,242.2 ",,"2,136.9 ",,115.0 ,,109.9 ,,701.5 ,,"4,109.0 ",
SD,Rapid Transit System,,,,,,,,,,,,,,,,,,,,,
,,8014,A,DR,DO,9,10,,0.0 ,,201.2 ,,196.2 ,,18.1 ,,17.7 ,,80.2 ,,358.4 ,
,,8014,A,MB,DO,5,7,,189.5 ,,193.3 ,,189.8 ,,15.1 ,,14.9 ,,175.1 ,,683.2 ,
,,,,Total,,14,17,,189.5 ,,394.5 ,,386.0 ,,33.3 ,,32.5 ,,255.3 ,,"1,041.6 ",
SD,Sioux Falls Transit,,,,,,,,,,,,,,,,,,,,,
,,8002,B,DR,DO,20,22,,0.0 ,,542.2 ,Q,517.4 ,Q,50.1 ,Q,46.0 ,Q,112.1 ,,628.0 ,
,,8002,B,MB,DO,28,31,,713.0 ,,709.1 ,Q,709.1 ,Q,52.6 ,Q,52.6 ,Q,715.5 ,,"2,628.7 ",
,,,,Total,,48,53,,713.0 ,,"1,251.3 ",,"1,226.5 ",,102.6 ,,98.5 ,,827.5 ,,"3,256.7 ",
TN,Chattanooga Area Regional Transportation Authority (CARTA),,,,,,,,,,,,,,,,,,,,,
,,4001,B,DR,DO,12,14,,0.0 ,,500.4 ,,241.2 ,,46.0 ,,27.4 ,,40.1 ,,276.5 ,
,,4001,B,DR,PT,5,5,,0.0 ,,30.0 ,,14.7 ,Q,3.4 ,,1.5 ,Q,17.3 ,,84.6 ,
,,4001,B,IP,DO,2,2,,18.5 ,,18.5 ,,18.5 ,,6.2 ,,6.2 ,,435.8 ,,435.8 ,
,,4001,B,MB,DO,49,54,,"2,095.8 ",,"2,101.9 ",,"1,908.9 ",,158.1 ,,130.0 ,,"2,036.0 ",,"10,566.4 ",
,,,,Total,,68,75,,"2,114.3 ",,"2,650.8 ",,"2,183.3 ",,213.7 ,,165.1 ,,"2,529.2 ",,"11,363.2 ",
TN,Clarksville Transit System (CTS),,,,,,,,,,,,,,,,,,,,,
,,4092,A,DR,DO,6,9,,0.0 ,,285.4 ,,267.9 ,,18.5 ,,17.6 ,,35.4 ,,258.9 ,
,,4092,A,MB,DO,12,18,,761.9 ,,777.6 ,,772.5 ,,47.5 ,,47.3 ,,605.8 ,,"3,404.8 ",
,,,,Total,,18,27,,761.9 ,,"1,063.0 ",,"1,040.4 ",,66.1 ,,64.8 ,,641.2 ,,"3,663.7 ",
TN,Jackson Transit Authority (JTA),,,,,,,,,,,,,,,,,,,,,
,,4057,A,DR,DO,5,7,,0.0 ,,167.6 ,,166.9 ,,12.5 ,,12.4 ,,30.5 ,,239.2 ,
,,4057,A,MB,DO,8,14,,566.7 ,,576.4 ,Q,558.1 ,Q,43.1 ,,41.3 ,,421.8 ,,"1,925.4 ",
,,,,Total,,13,21,,566.7 ,,744.1 ,,725.1 ,,55.6 ,,53.7 ,,452.3 ,,"2,164.6 ",
TN,Johnson City Transit System (JCT),,,,,,,,,,,,,,,,,,,,,
,,4054,A,DR,DO,8,16,,0.0 ,,175.9 ,,131.9 ,,22.1 ,,16.7 ,,30.3 ,,123.6 ,
,,4054,A,MB,DO,8,26,,317.3 ,,319.8 ,,316.2 ,,24.2 ,,23.6 ,,370.2 ,,"1,336.4 ",
,,,,Total,,16,42,,317.3 ,,495.7 ,,448.1 ,,46.3 ,,40.4 ,,400.5 ,,"1,460.0 ",
TN,Knoxville Area Transit (KAT),,,,,,,,,,,,,,,,,,,,,
,,4002,A,DR,DO,13,13,,0.0 ,,540.1 ,,472.6 ,,34.3 ,,30.7 ,,51.0 ,,416.0 ,
,,4002,A,MB,DO,75,98,,"2,676.3 ",,"2,869.4 ",,"2,674.9 ",,238.9 ,,225.3 ,,"3,070.5 ",,"11,089.9 ",
,,,,Total,,88,111,,"2,676.3 ",,"3,409.6 ",,"3,147.5 ",,273.2 ,,256.0 ,,"3,121.5 ",,"11,505.9 ",
TN,Memphis Area Transit Authority (MATA),,,,,,,,,,,,,,,,,,,,,
,,4003,A,DR,DO,44,56,,0.0 ,,"2,166.4 ",,"1,831.6 ",,128.6 ,,114.8 ,,246.7 ,,"2,802.7 ",
,,4003,A,LR,DO,15,18,,464.7 ,,371.6 ,,369.0 ,,55.3 ,,55.0 ,,"1,015.4 ",,892.0 ,
,,4003,A,MB,DO,149,179,,"6,580.5 ",,"8,527.0 ",,"7,003.6 ",,482.1 ,,424.4 ,,"10,882.9 ",,"61,333.6 ",
,,,,Total,,208,253,,"7,045.2 ",,"11,065.0 ",,"9,204.2 ",,666.0 ,,594.2 ,,"12,145.0 ",,"65,028.3 ",
TN,Metropolitan Transit Authority (MTA),,,,,,,,,,,,,,,,,,,,,
,,4004,A,DR,DO,36,49,,0.0 ,,"1,559.9 ",,"1,245.5 ",,102.7 ,,75.8 ,,170.2 ,,"2,379.8 ",
,,4004,A,MB,DO,113,137,,"4,312.7 ",,"4,880.8 ",,"4,309.8 ",,332.0 ,,306.7 ,,"7,372.4 ",,"30,935.6 ",Q
,,,,Total,,149,186,,"4,312.7 ",,"6,440.7 ",,"5,555.2 ",,434.7 ,,382.5 ,,"7,542.6 ",,"33,315.4 ",
TX,Abilene Transit System (CityLink),,,,,,,,,,,,,,,,,,,,,
,,6040,A,DR,DO,18,19,,0.0 ,,658.1 ,,638.5 ,,48.8 ,,47.3 ,,109.1 ,,578.1 ,
,,6040,A,MB,DO,18,20,,420.6 ,,420.6 ,,420.6 ,,29.2 ,,29.2 ,,497.6 ,,"2,025.1 ",
,,,,Total,,36,39,,420.6 ,,"1,078.6 ",,"1,059.0 ",,78.0 ,,76.4 ,,606.7 ,,"2,603.2 ",
TX,Amarillo City Transit (ACT),,,,,,,,,,,,,,,,,,,,,
,,6001,A,DR,DO,5,8,,0.0 ,,242.3 ,,221.1 ,,17.4 ,,15.9 ,,29.2 ,,231.1 ,
,,6001,A,MB,DO,12,17,,671.8 ,,671.6 ,,654.2 ,,40.9 ,,39.8 ,,358.3 ,,"1,315.1 ",
,,,,Total,,17,25,,671.8 ,,914.0 ,,875.3 ,,58.2 ,,55.7 ,,387.6 ,,"1,546.2 ",
TX,ATC / Vancom (ATC),,,,,,,,,,,,,,,,,,,,,
,,6092,D,DR,DO,170,188,,0.0 ,,"9,223.1 ",Q,"7,019.5 ",Q,517.7 ,Q,395.0 ,Q,697.8 ,,"8,972.8 ",
TX,Beaumont Municipal Transit System (BMT),,,,,,,,,,,,,,,,,,,,,
,,6016,E,DR,DO,5,9,,0.0 ,,187.8 ,,131.4 ,,16.2 ,,10.5 ,,22.2 ,,145.9 ,
,,6016,E,MB,DO,12,19,,717.9 ,,723.8 ,,717.8 ,,50.9 ,,50.4 ,,649.3 ,,"2,809.9 ",
,,,,Total,,17,28,,717.9 ,,911.6 ,,849.1 ,,67.2 ,,60.8 ,,671.5 ,,"2,955.8 ",
TX,Brazos Transit District (The District),,,,,,,,,,,,,,,,,,,,,
,,6059,B,DR,DO,6,8,,0.0 ,,140.2 ,,120.7 ,,6.5 ,,5.6 ,,14.2 ,,115.4 ,
,,6059,B,MB,DO,8,10,,419.1 ,,458.1 ,,425.3 ,,26.4 ,,24.7 ,,269.8 ,,774.3 ,Q
,,6059,B,MB,PT,15,16,,358.6 ,,358.6 ,,358.6 ,,14.1 ,,14.1 ,,331.1 ,,384.1 ,
,,,,Total,,29,34,,777.7 ,,956.8 ,,904.5 ,,47.0 ,,44.3 ,,615.1 ,,"1,273.8 ",
TX,Capital Metropolitan Transportation Authority (CMTA),,,,,,,,,,,,,,,,,,,,,
,,6048,B,DR,DO,79,94,,0.0 ,,"3,577.7 ",,"3,028.3 ",,249.2 ,Q,222.5 ,Q,430.3 ,,"3,796.5 ",
,,6048,B,DR,PT,450,457,,0.0 ,,23.3 ,Q,18.2 ,Q,1.2 ,Q,1.0 ,Q,1.9 ,Q,38.9 ,Q
,,6048,B,MB,DO,228,294,,"10,157.1 ",,"11,742.5 ",,"10,140.7 ",,890.4 ,,823.5 ,,"22,994.7 ",,"76,037.3 ",
,,6048,B,MB,PT,95,119,,"3,686.0 ",,"3,873.8 ",Q,"3,526.9 ",Q,262.1 ,Q,236.4 ,Q,"9,481.5 ",,"28,057.1 ",
,,6048,B,VP,DO,121,148,,0.0 ,,"1,471.4 ",,"1,471.4 ",,49.6 ,,49.6 ,,286.3 ,,"5,456.0 ",
,,,,Total,,973,"1,112",,"13,843.1 ",,"20,688.6 ",,"18,185.5 ",,"1,452.5 ",,"1,333.0 ",,"33,194.7 ",,"113,385.7 ",
TX,City of Brownsville - Brownsville Urban System (BUS),,,,,,,,,,,,,,,,,,,,,
,,6014,A,DR,DO,10,12,,0.0 ,,237.7 ,,212.1 ,,22.0 ,,20.2 ,,43.7 ,,212.1 ,
,,6014,A,MB,DO,15,32,,677.7 ,,709.3 ,,657.3 ,,58.0 ,,55.3 ,,"1,632.5 ",,"14,038.6 ",Q
,,,,Total,,25,44,,677.7 ,,947.0 ,,869.4 ,,80.0 ,,75.6 ,,"1,676.2 ",,"14,250.7 ",
TX,City of Denton Public Transportation Department (Link),,,,,,,,,,,,,,,,,,,,,
,,6076,B,DR,PT,4,6,,0.0 ,,137.5 ,,127.5 ,,9.6 ,,8.0 ,,15.5 ,,100.1 ,
,,6076,B,MB,PT,33,39,,690.1 ,,748.8 ,,688.1 ,,52.4 ,,49.5 ,,"1,265.3 ",Q,"1,910.6 ",Q
,,,,Total,,37,45,,690.1 ,,886.3 ,,815.6 ,,62.0 ,,57.5 ,,"1,280.8 ",,"2,010.7 ",
TX,City of Grand Prairie Transportation Services Department (Grand Connection),,,,,,,,,,,,,,,,,,,,,
,,6068,A,DR,DO,7,11,,0.0 ,,113.5 ,,94.4 ,,12.7 ,,11.0 ,,34.0 ,,273.7 ,
TX,City of Mesquite (MTED),,,,,,,,,,,,,,,,,,,,,
,,6070,A,DR,DO,10,12,,0.0 ,,248.5 ,Q,236.4 ,Q,16.0 ,Q,15.8 ,Q,32.3 ,,445.6 ,
TX,City of San Angelo (COSA),,,,,,,,,,,,,,,,,,,,,
,,6037,A,DR,DO,7,9,,0.0 ,,220.7 ,Q,213.9 ,Q,15.3 ,Q,14.7 ,Q,27.1 ,Q,190.0 ,Q
,,6037,A,MB,DO,6,9,,266.3 ,,296.0 ,Q,264.5 ,Q,20.8 ,Q,19.8 ,Q,153.0 ,,879.7 ,
,,,,Total,,13,18,,266.3 ,,516.7 ,,478.4 ,,36.1 ,,34.5 ,,180.1 ,,"1,069.7 ",
TX,"City Transit Management Company, Inc. (Citibus)",,,,,,,,,,,,,,,,,,,,,
,,6010,A,DR,DO,22,24,,0.0 ,,561.3 ,,501.4 ,,40.5 ,,36.3 ,,73.4 ,,479.4 ,
,,6010,A,MB,DO,58,62,,"1,541.8 ",,"1,554.2 ",,"1,541.8 ",,111.4 ,,109.2 ,,"3,709.4 ",,"10,822.4 ",
,,,,Total,,80,86,,"1,541.8 ",,"2,115.5 ",,"2,043.3 ",,151.9 ,,145.5 ,,"3,782.7 ",,"11,301.8 ",
TX,Corpus Christi Regional Transportation Authority (The B),,,,,,,,,,,,,,,,,,,,,
,,6051,B,DR,PT,30,31,,0.0 ,,"1,321.1 ",,"1,160.5 ",,68.7 ,,65.0 ,,185.4 ,,"1,629.8 ",
,,6051,B,FB,PT,1,1,,1.9 ,,2.0 ,,1.7 ,,0.8 ,,0.7 ,,31.0 ,,27.9 ,
,,6051,B,MB,DO,50,61,,"2,335.5 ",,"2,568.4 ",,"2,315.6 ",,185.0 ,,175.7 ,,"5,069.1 ",,"15,359.4 ",
,,6051,B,MB,PT,13,15,,616.6 ,,730.2 ,,615.8 ,,33.8 ,,30.4 ,,595.0 ,,"5,253.5 ",
,,,,Total,,94,108,,"2,954.0 ",,"4,621.6 ",,"4,093.6 ",,288.3 ,,271.7 ,,"5,880.5 ",,"22,270.6 ",
TX,"Dallas - VPSI, Inc.",,,,,,,,,,,,,,,,,,,,,
,,6084,E,VP,DO,132,137,,0.0 ,,"2,662.9 ",,"2,662.9 ",,59.1 ,,59.1 ,,415.9 ,Q,"15,607.2 ",
TX,Dallas Area Rapid Transit (DART),,,,,,,,,,,,,,,,,,,,,
,,6056,B,CR,PT,21,36,,548.4 ,,580.9 ,,548.4 ,,26.6 ,,25.7 ,,"1,324.7 ",,"15,343.7 ",
,,6056,B,DR,PT,3,4,,0.0 ,,143.2 ,,120.6 ,,11.0 ,,9.4 ,,35.7 ,,161.1 ,
,,6056,B,LR,DO,82,95,,"5,174.7 ",,"5,245.1 ",,"5,174.7 ",,251.1 ,,242.3 ,,"17,487.1 ",,"128,323.3 ",
,,6056,B,MB,DO,605,742,,"30,373.8 ",,"35,585.5 ",,"30,406.7 ",,"2,345.3 ",,"2,130.5 ",,"53,394.3 ",,"254,706.2 ",
,,6056,B,VP,DO,67,68,,0.0 ,,"1,411.7 ",,"1,411.7 ",,40.3 ,,40.3 ,,354.4 ,,"15,390.6 ",
,,,,Total,,778,945,,"36,096.9 ",,"42,966.4 ",,"37,662.1 ",,"2,674.4 ",,"2,448.3 ",,"72,596.2 ",,"413,925.0 ",
TX,Fort Worth Transportation Authority (The T),,,,,,,,,,,,,,,,,,,,,
,,6007,B,CR,PT,15,17,,528.2 ,,655.7 ,,527.9 ,,25.9 ,,22.6 ,,826.4 ,,"13,007.9 ",
,,6007,B,DR,DO,35,38,,0.0 ,,"1,508.6 ",,"1,331.0 ",,95.1 ,,85.6 ,,175.1 ,,"1,922.5 ",
,,6007,B,DR,PT,29,29,,0.0 ,,"1,823.4 ",,"1,733.2 ",,82.6 ,,78.3 ,,171.1 ,,"1,818.4 ",
,,6007,B,MB,DO,114,140,,"4,264.9 ",,"4,729.1 ",,"4,437.3 ",,378.5 ,,355.8 ,,"6,923.6 ",,"29,024.5 ",
,,6007,B,MB,PT,2,3,,22.0 ,,26.8 ,Q,22.0 ,Q,3.3 ,Q,2.8 ,Q,42.6 ,,82.0 ,
,,,,Total,,195,227,,"4,815.1 ",,"8,743.6 ",,"8,051.4 ",,585.4 ,,545.0 ,,"8,138.8 ",,"45,855.2 ",
TX,Golden Crescent Regional Planning Commssion (VICTORIA TRANSIT),,,,,,,,,,,,,,,,,,,,,
,,6095,A,DR,DO,5,7,,0.0 ,,119.6 ,,115.2 ,,10.6 ,,10.2 ,,23.5 ,,0.0 ,W
,,6095,A,MB,DO,6,8,,253.2 ,,260.6 ,,253.5 ,,17.8 ,,17.5 ,,136.3 ,,0.0 ,W
,,,,Total,,11,15,,253.2 ,,380.2 ,,368.7 ,,28.4 ,,27.7 ,,159.8 ,,0.0 ,Q
TX,Handitran Special Transit Division - City of Arlington (Handitran),,,,,,,,,,,,,,,,,,,,,
,,6041,B,DR,DO,12,17,,0.0 ,,364.0 ,,335.5 ,,26.3 ,,24.1 ,,55.7 ,,434.1 ,
,,6041,B,DR,PT,7,7,,0.0 ,,332.6 ,,332.6 ,,20.0 ,,20.0 ,,49.2 ,,312.2 ,
,,,,Total,,19,24,,0.0 ,,696.6 ,,668.1 ,,46.3 ,,44.1 ,,104.9 ,,746.3 ,
TX,Hill Country Transit District (The Hop),,,,,,,,,,,,,,,,,,,,,
,,6091,E,DR,DO,23,27,,0.0 ,,530.4 ,,450.7 ,,34.5 ,,30.2 ,,74.5 ,,549.4 ,
,,6091,E,MB,DO,19,20,,619.0 ,,675.2 ,,640.2 ,,41.3 ,,39.4 ,,360.6 ,,"1,617.5 ",
,,,,Total,,42,47,,619.0 ,,"1,205.7 ",,"1,090.9 ",,75.7 ,,69.6 ,,435.1 ,,"2,166.9 ",
TX,Island Transit (I T),,,,,,,,,,,,,,,,,,,,,
,,6015,A,DR,DO,4,5,,0.0 ,,113.0 ,Q,106.8 ,Q,11.9 ,Q,11.8 ,Q,27.5 ,Q,100.6 ,Q
,,6015,A,LR,DO,4,4,,32.4 ,Q,32.9 ,Q,32.4 ,Q,5.8 ,Q,5.8 ,Q,47.7 ,Q,58.4 ,Q
,,6015,A,MB,DO,11,20,,618.2 ,Q,621.5 ,Q,618.2 ,Q,55.5 ,Q,62.9 ,Q,839.2 ,Q,766.2 ,Q
,,,,Total,,19,29,,650.6 ,,767.4 ,,757.4 ,,73.2 ,,80.5 ,,914.4 ,,925.3 ,
TX,"Laredo Transit Management, Inc. (El Metro)",,,,,,,,,,,,,,,,,,,,,
,,6009,A,DR,DO,15,18,,0.0 ,,241.3 ,,220.9 ,,28.8 ,,26.7 ,,52.2 ,,216.6 ,
,,6009,A,MB,DO,34,49,,"1,792.1 ",,"1,818.0 ",,"1,765.8 ",,169.3 ,,165.1 ,,"3,898.1 ",,"11,999.5 ",
,,,,Total,,49,67,,"1,792.1 ",,"2,059.3 ",,"1,986.7 ",,198.1 ,,191.8 ,,"3,950.4 ",,"12,216.1 ",
TX,Lewisville Dial-A-Ride (DAR),,,,,,,,,,,,,,,,,,,,,
,,6074,B,DR,PT,5,6,,0.0 ,,193.2 ,,173.9 ,,13.9 ,,12.5 ,,26.9 ,,160.2 ,
TX,Lower Rio Grande Valley Development Council (LRGVDC),,,,,,,,,,,,,,,,,,,,,
,,6090,B,DR,DO,1,2,,155.2 ,,38.9 ,,31.4 ,,2.6 ,,2.2 ,,5.3 ,,28.8 ,
,,6090,B,MB,DO,5,10,,155.2 ,,192.0 ,,153.2 ,,12.5 ,,9.7 ,,29.8 ,,252.6 ,
,,,,Total,,6,12,,310.5 ,,230.9 ,,184.6 ,,15.1 ,,11.9 ,,35.1 ,,281.4 ,
TX,Mass Transit Department - City of El Paso (Sun Metro),,,,,,,,,,,,,,,,,,,,,
,,6006,B,DR,DO,51,75,,0.0 ,,"1,908.0 ",Q,"1,580.4 ",Q,121.3 ,Q,108.1 ,Q,233.5 ,Q,"2,099.1 ",Q
,,6006,B,DR,PT,20,24,,0.0 ,,143.8 ,Q,143.8 ,Q,6.2 ,Q,6.2 ,Q,26.3 ,Q,268.6 ,Q
,,6006,B,MB,DO,121,174,,"6,868.9 ",,"7,034.3 ",Q,"6,608.3 ",Q,561.8 ,Q,529.6 ,Q,"12,345.4 ",Q,"55,326.0 ",Q
,,,,Total,,192,273,,"6,868.9 ",,"9,086.1 ",,"8,332.6 ",,689.3 ,,643.9 ,,"12,605.1 ",,"57,693.7 ",
